Evaluation of kospi_ours_fold3 with ac agent and sharpe indicator
Namespace(stock='kospi_ours_fold3', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 1 | PRICE $2188.10 | ACTION BUY
DAY 2 | PRICE $2245.58 | ACTION SELL
DAY 9 | PRICE $1934.72 | ACTION BUY
DAY 10 | PRICE $1637.88 | ACTION SELL
DAY 13 | PRICE $1791.92 | ACTION BUY
DAY 14 | PRICE $1837.17 | ACTION SELL
DAY 19 | PRICE $1967.84 | ACTION BUY
DAY 20 | PRICE $2035.63 | ACTION SELL
DAY 30 | PRICE $2349.33 | ACTION BUY
DAY 31 | PRICE $2336.78 | ACTION SELL
DAY 35 | PRICE $2423.79 | ACTION BUY
DAY 38 | PRICE $2393.74 | ACTION SELL
DAY 48 | PRICE $2747.09 | ACTION BUY
DAY 49 | PRICE $2792.06 | ACTION SELL
DAY 51 | PRICE $3128.72 | ACTION BUY
DAY 52 | PRICE $3123.27 | ACTION SELL
DAY 69 | PRICE $3142.37 | ACTION BUY
DAY 71 | PRICE $3210.31 | ACTION SELL
DAY 91 | PRICE $2953.96 | ACTION BUY
DAY 92 | PRICE $2938.27 | ACTION SELL
DAY 97 | PRICE $2984.19 | ACTION BUY
DAY 98 | PRICE $3009.48 | ACTION SELL
DAY 102 | PRICE $2780.68 | ACTION BUY
DAY 103 | PRICE $2702.78 | ACTION BUY
DAY 104 | PRICE $2761.76 | ACTION SELL
DAY 105 | PRICE $2711.99 | ACTION SELL
DAY 109 | PRICE $2683.69 | ACTION BUY
DAY 110 | PRICE $2707.74 | ACTION BUY
DAY 111 | PRICE $2722.45 | ACTION BUY
DAY 112 | PRICE $2683.96 | ACTION SELL
DAY 113 | PRICE $2681.37 | ACTION SELL
DAY 114 | PRICE $2657.04 | ACTION BUY
DAY 115 | PRICE $2667.85 | ACTION BUY
DAY 116 | PRICE $2553.01 | ACTION SELL
DAY 117 | PRICE $2603.58 | ACTION BUY
DAY 118 | PRICE $2605.87 | ACTION SELL
DAY 119 | PRICE $2654.32 | ACTION SELL
DAY 120 | PRICE $2606.61 | ACTION SELL
DAY 121 | PRICE $2447.33 | ACTION BUY
DAY 122 | PRICE $2306.48 | ACTION SELL
DAY 127 | PRICE $2429.07 | ACTION BUY
DAY 128 | PRICE $2465.32 | ACTION SELL
DAY 129 | PRICE $2506.41 | ACTION BUY
DAY 130 | PRICE $2492.69 | ACTION SELL
DAY 135 | PRICE $2197.90 | ACTION BUY
DAY 136 | PRICE $2204.03 | ACTION BUY
DAY 138 | PRICE $2200.44 | ACTION SELL
DAY 139 | PRICE $2262.02 | ACTION SELL
DAY 148 | PRICE $2236.38 | ACTION BUY
DAY 149 | PRICE $2253.27 | ACTION SELL
DAY 165 | PRICE $2486.09 | ACTION BUY
DAY 166 | PRICE $2472.45 | ACTION SELL
DAY 171 | PRICE $2596.82 | ACTION BUY
DAY 173 | PRICE $2591.86 | ACTION BUY
DAY 174 | PRICE $2534.48 | ACTION SELL
DAY 175 | PRICE $2600.67 | ACTION BUY
DAY 176 | PRICE $2621.60 | ACTION SELL
DAY 177 | PRICE $2639.10 | ACTION SELL
DAY 179 | PRICE $2520.87 | ACTION BUY
DAY 180 | PRICE $2499.89 | ACTION SELL
DAY 181 | PRICE $2561.22 | ACTION BUY
DAY 182 | PRICE $2560.09 | ACTION SELL
DAY 183 | PRICE $2528.18 | ACTION BUY
DAY 184 | PRICE $2551.12 | ACTION SELL
DAY 195 | PRICE $2509.89 | ACTION BUY
DAY 196 | PRICE $2584.85 | ACTION SELL
DAY 207 | PRICE $2696.31 | ACTION BUY
DAY 208 | PRICE $2724.25 | ACTION SELL
DAY 233 | PRICE $2597.81 | ACTION BUY
DAY 234 | PRICE $2555.46 | ACTION SELL
DAY 240 | PRICE $2390.56 | ACTION BUY
DAY 242 | PRICE $2446.96 | ACTION SELL
Initial Cash: $9308.40
Total Profit: -$249.71
Final Cash:  $9058.69
Price Change: $2165.39 → $2390.44 (10.39%)
