Evaluation of japan_ni_ours_fold2 with ac agent and sharpe indicator
Namespace(stock='japan_ni_ours_fold2', window=30, episodes=10, agent='ac', lr=0.001, cash=10, normalizer=1, indicator='sharpe', lambda_sharpe=0.1, sharpe_window=20, lambda_kelly=0.1, kelly_window=20, alpha_var=0.05, lambda_var=0.1, alpha_cvar=0.05, tau_cvar=-0.05, beta_cvar=0.1)
DAY 7 | PRICE $22127.42 | ACTION BUY
DAY 8 | PRICE $20862.05 | ACTION SELL
DAY 16 | PRICE $19551.73 | ACTION BUY
DAY 17 | PRICE $20056.46 | ACTION BUY
DAY 18 | PRICE $20454.03 | ACTION SELL
DAY 19 | PRICE $21142.72 | ACTION SELL
DAY 29 | PRICE $22204.61 | ACTION BUY
DAY 30 | PRICE $23068.53 | ACTION SELL
DAY 36 | PRICE $23170.89 | ACTION BUY
DAY 37 | PRICE $23477.73 | ACTION SELL
DAY 39 | PRICE $23436.17 | ACTION BUY
DAY 40 | PRICE $23170.76 | ACTION SELL
DAY 41 | PRICE $24039.16 | ACTION BUY
DAY 42 | PRICE $25215.31 | ACTION SELL
DAY 51 | PRICE $28677.61 | ACTION BUY
DAY 52 | PRICE $27975.85 | ACTION BUY
DAY 53 | PRICE $28325.89 | ACTION BUY
DAY 54 | PRICE $29417.32 | ACTION BUY
DAY 55 | PRICE $29847.33 | ACTION SELL
DAY 56 | PRICE $29396.04 | ACTION SELL
DAY 57 | PRICE $28644.26 | ACTION SELL
DAY 58 | PRICE $29670.31 | ACTION SELL
DAY 62 | PRICE $29538.73 | ACTION BUY
DAY 63 | PRICE $29530.84 | ACTION SELL
DAY 64 | PRICE $28896.37 | ACTION BUY
DAY 65 | PRICE $29237.36 | ACTION SELL
DAY 78 | PRICE $27974.99 | ACTION BUY
DAY 79 | PRICE $27347.77 | ACTION SELL
DAY 94 | PRICE $27961.66 | ACTION BUY
DAY 95 | PRICE $28309.67 | ACTION SELL
DAY 96 | PRICE $28226.43 | ACTION BUY
DAY 97 | PRICE $28879.68 | ACTION SELL
DAY 105 | PRICE $26821.75 | ACTION BUY
DAY 106 | PRICE $24767.33 | ACTION SELL
DAY 110 | PRICE $27214.61 | ACTION BUY
DAY 111 | PRICE $26429.47 | ACTION BUY
DAY 112 | PRICE $27066.18 | ACTION BUY
DAY 113 | PRICE $26051.04 | ACTION SELL
DAY 114 | PRICE $25773.83 | ACTION SELL
DAY 115 | PRICE $26440.62 | ACTION SELL
DAY 120 | PRICE $25972.28 | ACTION BUY
DAY 121 | PRICE $26789.50 | ACTION SELL
DAY 123 | PRICE $26278.28 | ACTION BUY
DAY 124 | PRICE $27295.95 | ACTION SELL
DAY 138 | PRICE $27526.18 | ACTION BUY
DAY 139 | PRICE $27688.86 | ACTION SELL
DAY 140 | PRICE $27743.15 | ACTION BUY
DAY 141 | PRICE $28363.66 | ACTION SELL
DAY 161 | PRICE $28442.45 | ACTION BUY
DAY 162 | PRICE $28241.67 | ACTION BUY
DAY 163 | PRICE $29020.63 | ACTION SELL
DAY 164 | PRICE $29779.07 | ACTION SELL
DAY 168 | PRICE $32638.21 | ACTION BUY
DAY 169 | PRICE $33089.02 | ACTION SELL
DAY 170 | PRICE $32306.99 | ACTION BUY
DAY 171 | PRICE $33338.78 | ACTION SELL
DAY 174 | PRICE $32488.52 | ACTION BUY
DAY 175 | PRICE $32628.29 | ACTION SELL
DAY 182 | PRICE $32154.53 | ACTION BUY
DAY 183 | PRICE $31717.74 | ACTION SELL
DAY 186 | PRICE $30974.26 | ACTION BUY
DAY 187 | PRICE $30538.29 | ACTION SELL
DAY 209 | PRICE $39457.73 | ACTION BUY
DAY 210 | PRICE $36733.06 | ACTION SELL
DAY 221 | PRICE $41430.38 | ACTION BUY
DAY 222 | PRICE $40104.22 | ACTION SELL
DAY 226 | PRICE $37304.93 | ACTION BUY
DAY 227 | PRICE $38053.47 | ACTION SELL
DAY 229 | PRICE $36235.61 | ACTION BUY
DAY 230 | PRICE $36441.34 | ACTION SELL
Initial Cash: $181682.70
Total Profit: $4560.62
Final Cash:  $186243.32
Price Change: $23656.62 → $39110.92 (65.33%)
